ensemble,voting,accuracy,f1_binary,f1_micro,f1_macro,roc_auc
RF+XGB+LGBM+SAGE,hard,0.7900179856115108,0.7859761686526123,0.7900179856115108,0.7899430710871181,0.970482873682176
XGB+GNN,hard,0.7867580935251799,0.7830264211369096,0.7867580935251799,0.7866949986113325,0.9353326831340234
XGB+GNN,soft,0.7867580935251799,0.7830264211369096,0.7867580935251799,0.7866949986113325,0.9353326831340234
XGB,hard,0.7864208633093526,0.7826335659535523,0.7864208633093526,0.7863560051621701,0.9312070887417441
XGB,soft,0.7864208633093526,0.7826335659535523,0.7864208633093526,0.7863560051621701,0.9312070887417441
RF+XGB+LGBM+GNN+SAGE,soft,0.7869829136690647,0.7823590214769726,0.7869829136690647,0.7868867204247824,0.9720535261019976
SAGE,hard,0.7797324640287769,0.7791241616412106,0.7797324640287769,0.7797307933367199,0.9091553476800882
SAGE,soft,0.7797324640287769,0.7791241616412106,0.7797324640287769,0.7797307933367199,0.9091553476800882
GNN+SAGE,hard,0.7762477517985612,0.7747156357874484,0.7762477517985612,0.7762374025529102,0.9354968676138234
GNN+SAGE,soft,0.7762477517985612,0.7747156357874484,0.7762477517985612,0.7762374025529102,0.9354968676138234
XGB+SAGE,hard,0.7761353417266187,0.7682550765113167,0.7761353417266187,0.7758761929276158,0.9732093168382528
XGB+SAGE,soft,0.7761353417266187,0.7682550765113167,0.7761353417266187,0.7758761929276158,0.9732093168382528
RF+XGB+LGBM,soft,0.773943345323741,0.766407248228598,0.773943345323741,0.7737078166439734,0.9291810548764556
RF+XGB+LGBM+GNN,soft,0.7695031474820144,0.7610279121263329,0.7695031474820144,0.7692128650356465,0.9360658443188508
XGB+LGBM+GNN,hard,0.7680418165467626,0.7596249053526705,0.7680418165467626,0.7677570630483146,0.9456318297408906
LGBM+GNN+SAGE,hard,0.7649505395683454,0.7565207265952492,0.7649505395683454,0.7646684467396063,0.9763562579591221
RF+LGBM+SAGE,soft,0.7644446942446043,0.7532819214693589,0.7644446942446043,0.7639614963049327,0.9708669908247618
XGB+GNN+SAGE,hard,0.7621402877697842,0.7518470740002345,0.7621402877697842,0.7617303367842512,0.9746471047168744
RF+XGB+LGBM,hard,0.7615782374100719,0.7507638072855464,0.7615782374100719,0.7611285099776148,0.9291810548764556
RF+LGBM+GNN+SAGE,soft,0.7577562949640287,0.744789199431549,0.7577562949640287,0.7571293023259584,0.9719639863860923
RF+XGB+LGBM+GNN,hard,0.7547212230215827,0.7417140151515151,0.7547212230215827,0.7540975897675384,0.9360658443188508
RF+LGBM,hard,0.7446605215827338,0.7289864582711925,0.7446605215827338,0.7438035739631824,0.9207576456612535
RF+LGBM,soft,0.7446605215827338,0.7289864582711925,0.7446605215827338,0.7438035739631824,0.9207576456612535
RF+LGBM+SAGE,hard,0.7425247302158273,0.7244511278195489,0.7425247302158273,0.7414122298731691,0.9708669908247618
RF+XGB+GNN+SAGE,soft,0.7409509892086331,0.721695549785641,0.7409509892086331,0.7397049477887885,0.9697755923130016
RF+XGB+SAGE,hard,0.7408947841726619,0.7213154394873655,0.7408947841726619,0.7396095105219624,0.9680749523400768
RF+LGBM+GNN,soft,0.7360049460431655,0.717507668250436,0.7360049460431655,0.7348681982123626,0.9285330394620765
RF+LGBM+GNN+SAGE,hard,0.7356115107913669,0.7148399612027158,0.7356115107913669,0.7342012044068902,0.9719639863860923
RF+XGB+SAGE,soft,0.7354428956834532,0.7138427867955499,0.7354428956834532,0.7339268807246628,0.9680749523400768
RF+XGB+LGBM+GNN+SAGE,hard,0.7279114208633094,0.7038237993270113,0.7279114208633094,0.7260997472647324,0.9720535261019976
RF+XGB+GNN+SAGE,hard,0.7281362410071942,0.7037422674098119,0.7281362410071942,0.7262804394119216,0.9697755923130016
RF+XGB,hard,0.7193120503597122,0.6926390940423437,0.7193120503597122,0.7171821866570841,0.9152943237286395
RF+XGB,soft,0.7193120503597122,0.6926390940423437,0.7193120503597122,0.7171821866570841,0.9152943237286395
RF+XGB+GNN,soft,0.7116119604316546,0.6811657242279252,0.7116119604316546,0.7089580096179389,0.9232150969688837
RF+SAGE,hard,0.635341726618705,0.560075942500678,0.635341726618705,0.6243458998354801,0.9497948969031313
RF+SAGE,soft,0.635341726618705,0.560075942500678,0.635341726618705,0.6243458998354801,0.9497948969031313
RF+GNN+SAGE,soft,0.6339366007194245,0.5573302521579555,0.6339366007194245,0.6226352281344614,0.9528689848390574
RF+GNN+SAGE,hard,0.5980215827338129,0.49290981281905843,0.5980215827338129,0.579974459482155,0.9528689848390574
RF+LGBM+GNN,hard,0.58087904676259,0.4616273193271244,0.58087904676259,0.5592542799184741,0.9285330394620765
RF+XGB+GNN,hard,0.5763264388489209,0.4476846424384525,0.5763264388489209,0.5520243051725451,0.9232150969688837
GNN,hard,0.5508655575539568,0.4431746916591178,0.5508655575539568,0.5334132771628608,0.7032515654084551
GNN,soft,0.5508655575539568,0.4431746916591178,0.5508655575539568,0.5334132771628608,0.7032515654084551
RF+GNN,hard,0.544851618705036,0.39121936550894604,0.544851618705036,0.5138934992879979,0.8251288432964738
RF+GNN,soft,0.544851618705036,0.39121936550894604,0.544851618705036,0.5138934992879979,0.8251288432964738
RF,soft,0.5383318345323741,0.3791383219954649,0.5383318345323741,0.5058436532586253,0.8092534791286283
RF,hard,0.5383318345323741,0.3791383219954649,0.5383318345323741,0.5058436532586253,0.8092534398969724
